TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,351859,351859,1,Área De Proteção Ambiental Lagoa De Itaparica,Área De Proteção Ambiental Lagoa De Itaparica,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,0,0,786.355479905758,781.483204786,786.355479905758,Not Applicable,0,Designated,1997,Sub-national ministry or agency,Not Reported,Secretaria do Meio Ambiente da Bahia,Not Reported,State Verified,1802,BR-BA,BRA,BRA
Polygon,478563,478563,1,Parque Estadual Da Mata Atlântica,Parque Estadual Da Mata Atlântica,Parque,Park,National,II,Not Applicable,0,0,0,9.37189591428,9.42265660676565,Not Applicable,0,Designated,2006,Sub-national ministry or agency,Not Reported,Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás,Not Reported,State Verified,1802,BR-GO,BRA,BRA
Polygon,478455,478455,1,Área De Relevante Interesse Ecológico Da Barra Do Rio Camaratuba,Área De Relevante Interesse Ecológico Da Barra Do Rio Camaratuba,Área de Relevante Interesse Ecológico,Area of Relevant Ecological Interest,National,IV,Not Applicable,0,0,0.232600469532531,1.6750121343,1.68599578676723,Not Applicable,0,Designated,1998,Sub-national ministry or agency,Not Reported,Prefeitura de Mataraca - PB,Not Reported,State Verified,1802,BR-PB,BRA,BRA
Polygon,478418,478418,1,Floresta Nacional Do Iquiri,Floresta Nacional Do Iquiri,Floresta,Forest,National,VI,Not Applicable,0,0,14820.7506256462,14725.9867453,14820.7506256462,Not Applicable,0,Designated,2008,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conservação da Biodiversidade,Not Reported,State Verified,1802,BR-AM,BRA,BRA
Polygon,478585,478585,1,Reserva Biológica Do Gama,Reserva Biológica Do Gama,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,0,0,0,5.3680239999,5.39816209427395,Not Applicable,0,Designated,1988,Sub-national ministry or agency,Not Reported,Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental,Not Reported,State Verified,1802,BR-DF,BRA,BRA
Polygon,478479,478479,1,Apa De Grumari,Apa De Grumari,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,0,0,1.41154479606577,9.66570161247,9.71081787814761,Not Applicable,0,Designated,1986,Sub-national ministry or agency,Not Reported,Secretaria Municipal de Meio Ambiente do Rio de Janeiro - RJ,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,555576298,555576298,1,Reserva Particular Do Patrimônio Natural Douglas Vieira Soares,Reserva Particular Do Patrimônio Natural Douglas Vieira Soares,Reserva Particular do Patrimônio Natural,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,0,0,0.176796493225112,0.175914879129,0.176796493225112,Not Applicable,0,Designated,2010,Sub-national ministry or agency,Not Reported,Instituto Estadual do Ambiente do Rio de Janeiro,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,555600315,555600315,1,Monumento Natural Municipal Da Serra Da Bolívia,Monumento Natural Municipal Da Serra Da Bolívia,Monumento Natural,Natural Monument,National,Not Reported,Not Applicable,0,0,3.34044960141952,3.3241716411,3.34044960141952,Not Applicable,0,Designated,2012,Sub-national ministry or agency,Not Reported,Secretaria Municipal do Ambiente de Aperibé - RJ,Not Reported,State Verified,1802,BR-RJ,BRA,BRA
Polygon,555576300,555576300,1,Parque Estadual De Paracatu,Parque Estadual De Paracatu,Parque,Park,National,Not Reported,Not Applicable,0,0,64.3352868635388,63.9790390502,64.3352868635388,Not Applicable,0,Designated,2011,Sub-national ministry or agency,Not Reported,Instituto Estadual de Florestas de Minas Gerais,Not Reported,State Verified,1802,BR-MG,BRA,BRA
Polygon,555576301,555576301,1,Floresta Estadual Pederneiras,Floresta Estadual Pederneiras,Floresta,Forest,National,Not Reported,Not Applicable,0,0,19.4992412419724,19.4063385642,19.4992412419724,Not Applicable,0,Designated,2002,Sub-national ministry or agency,Not Reported,Instituto Florestal da Secretaria do Meio Ambiente do Estado de São Paulo - SP,Not Reported,State Verified,1802,BR-SP,BRA,BRA
